budget_kimg,nfe,metric,contrast,paired_seed_count,mean,sample_std,min,max,negative_count,positive_count,zero_count
256,1,fid50k_full,B-A,3,-11.540814456108214,9.086102356409418,-21.37705394180972,-3.4614369546914645,3,0,0
256,1,fid50k_full,B-C,3,-1.673216063622893,5.265674083215484,-7.667366291024223,2.2070044736381647,1,2,0
256,1,fid50k_full,B-D,3,-14.340494377457807,6.934838046851547,-18.727054737798767,-6.345443356425562,3,0,0
256,1,fid50k_full,C-A,3,-9.86759839248532,4.032497143515899,-13.709687650785497,-5.668441428329629,3,0,0
256,1,fid50k_full,D-A,3,2.7996799213495933,10.129666016271356,-3.438509115397892,14.487548083457625,2,1,0
256,1,fid50k_full,interaction_B-C-D+A,3,-4.472895984972486,8.093630132479655,-12.28054360981946,3.879222741915271,2,1,0
256,1,kid50k_full,B-A,3,-0.016224722425759137,0.02052734983239111,-0.03989483709209213,-0.0033096906006006566,3,0,0
256,1,kid50k_full,B-C,3,-0.008930268516016008,0.018363901835039418,-0.03008529248248254,0.002904864769769866,1,2,0
256,1,kid50k_full,B-D,3,-0.02134362247914584,0.015385196370906407,-0.03137989272272279,-0.0036306369419420448,3,0,0
256,1,kid50k_full,C-A,3,-0.00729445390974313,0.003195092333577958,-0.009809544609609588,-0.0036993127652653057,3,0,0
256,1,kid50k_full,D-A,3,0.005118900053386703,0.016562506695076563,-0.008514944369369337,0.023550698188188057,1,2,0
256,1,kid50k_full,interaction_B-C-D+A,3,-0.014049168569402712,0.012235147305124483,-0.021570348113113202,6.867582332326094e-05,2,1,0
256,2,fid50k_full,B-A,3,-48.07700479184317,78.14240028891442,-138.27692421923075,-0.9238465045759341,3,0,0
256,2,fid50k_full,B-C,3,-61.35084718275762,114.64657544849769,-193.60601378835946,9.803210198504729,2,1,0
256,2,fid50k_full,B-D,3,-54.47083867049462,45.26982075727935,-94.17272554826828,-5.172029347056025,3,0,0
256,2,fid50k_full,C-A,3,13.273842390914448,36.542074772014395,-10.727056703080663,55.32908956912871,2,1,0
256,2,fid50k_full,D-A,3,6.393833878651454,53.89671168569897,-44.10419867096246,63.143914611583625,1,2,0
256,2,fid50k_full,interaction_B-C-D+A,3,-67.74468106140908,75.5915052274895,-149.50181511739703,-0.3915236537513209,3,0,0
256,2,kid50k_full,B-A,3,-0.05740881214047383,0.09281753957835773,-0.1645552772147147,-0.0016396925500501008,3,0,0
