amp_skips,arm,attempted_iteration,budget_kimg,cur_nimg,dataset_sha256,denominator_gap_scale,ema_model_canonical_sha256,ema_snapshot_path,ema_snapshot_sha256,git_commit,online_model_canonical_sha256,optimizer_canonical_sha256,replay_elapsed_seconds,replay_state_path,replay_state_sha256,resume_history,runtime_identity,seed,source_256_state_path,source_256_state_sha256,status,successful_optimizer_steps,target_gap_scale
10,A,2000,256,256000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,29853536e9df06c9e099da89f7a7c6c847ad02f4b36d4b95d353563fac10b75d,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/network-snapshot-kimg000256.pkl,bdf7cb48d9432d8c0c91a3f1a0e90e4129630dd75445217d66d9ce21bce3d2c5,c8721a05227f3ff171f8dc1f559a64d58281c0ae,4860190bae38516a5f466e52f37a8e364524df01a3d6aa0b39320dd8c8755b1a,082c487572a9dd8a95f5d0c08766502b43b662845e5478aa81efbb48b2ae9fb3,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,PASS,1990,1.0
10,A,3000,384,384000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,5a72bb73b3d4533bee695c29fde38ee561d950b33e4cf8776ebf3e335662e2b3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/network-snapshot-kimg000384.pkl,ef906da7904dc539405d04740d93de63b75f03cb3945fd321f04bd6a8f8f8ec9,c8721a05227f3ff171f8dc1f559a64d58281c0ae,8477c70d44a7dd5fe6ac87e81c4b50930db59a402d1193f48bf2f06b51f3b8b6,fc09b8bc52eb58a3deb4abd3d10cbe8cbd45f8949c02501aa5eb8c6e2bfdfdaf,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/training-state-kimg000384.pt,5a5031dd376dd296973b9c18a8b2693eb26be9db8f7c22673f09eb70062b6efd,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,PASS,2990,1.0
10,A,4000,512,512000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,2c7e0713754bdb67292ce3514f394ce11239085d6ef6912e8ca7485a6a513a7f,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/network-snapshot-kimg000512.pkl,0e2aa71ae4d72517e6761a3e2f6eea031aaa844a6f5349f6978a7d61e8f70692,c8721a05227f3ff171f8dc1f559a64d58281c0ae,7c25315fa0641309909346ef3ab3f62a38c8b6e12dba06b1a907b4d48aa5eb3b,f7a78b4e522274a93c62f787e7e4ac4acf758fe7907843985db3b8feb4304e22,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/training-state-kimg000512.pt,bd42db9f45973be78a60d15ea24811641126e661bd5c3a2c5d549a617f75c5e0,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,PASS,3990,1.0
11,A,5000,640,640000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,9faec8e55af5914e52e27158225744a99d535513618f52f323a6d103ea8e36ed,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/network-snapshot-kimg000640.pkl,c6a31088c52e4db98a5cc100803d76aef4d7e01899e58e1dff271eb3e6663914,c8721a05227f3ff171f8dc1f559a64d58281c0ae,ac735ae49e06e35f0ace11915a4183fc081665a81eb7424de114cbe08740eaa1,93801122cbacfc37e959f58a7d6f328fcc4cb35aecdf37fc4d8bf12a1d7a1d55,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/training-state-kimg000640.pt,f6754d37e2a172084d8b3a2fb925536e27cbc7ddd14adbb40918a59f9c56b575,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,PASS,4989,1.0
11,A,6000,768,768000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,90076d53b0ec50c7a6ef9cbce680edb2bedbd36f121e430d42e1fba759d12017,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/network-snapshot-kimg000768.pkl,110b8bce523e6e979f4034b4ffac77f5ede7b800d8033d9dd9b29030c29a8324,c8721a05227f3ff171f8dc1f559a64d58281c0ae,c70b353518694ac5999ee2dadb83b601fc8caab8450ae12f19fb27664f8565bc,309756da16ee6eaa9e95c576db3cea5f5666dc66a01ef649a308e64756cec7ee,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/training-state-kimg000768.pt,8425fc561db71afe11f0df046a74f18d7a3eaa5a9d89a5f27e94a8f72623e526,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,PASS,5989,1.0
11,A,7000,896,896000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,ef41aa13545e674b9a4af078da9bd90afc810f4ea42417208096960090136966,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/network-snapshot-kimg000896.pkl,b4a461d89f8c685ac890a5ef9553d57b682fb21609bbd538306386392113ffe2,c8721a05227f3ff171f8dc1f559a64d58281c0ae,1055d61a6fc510f94e95e3c77d48431202c58a5f1a744224aff6f85123fa6008,1cda70615098ce45abf6f28a6686f75b17b89a2e64fc73d7bc4b4b1245d08d10,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/training-state-kimg000896.pt,672321a403938b13804127b58066ae4856a4cc3f05e826ac920a32461aa58805,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,PASS,6989,1.0
12,A,8000,1024,1024000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,7b5a6e1a12a504b32729d102f02d904b354d010ef84666c8f7c765eb20b812fa,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/network-snapshot-kimg001024.pkl,b0a027374c0a994a67152dd9219e7775b1c6e7ee6aa49ff9d15fcfe733485610,c8721a05227f3ff171f8dc1f559a64d58281c0ae,aac046a9e8a6ed234dce4439ffb6a3f93d4254187959566b07c2ad2a9f13c1bc,1985ea4719ca10b11d68d776d66246bfd3d162fea12bb661bdcf8552c46edd22,7850.17441534996,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armA/training-state-kimg001024.pt,23d28652dce268e05b015d8cc371d8603cc1f71480de247901ab1f3c7f9d1bd0,"[""Loading training state from \""/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt\""...""]","host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armA/training-state-latest.pt,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,PASS,7988,1.0
10,B,2000,256,256000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,62a575c81ac76ed89427c63f353a4b9695b7d3594ce55d29173d38e6961f1779,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/network-snapshot-kimg000256.pkl,ab362d71eb8d4afb9bea32c90198d08f52d5c327c3cb562aba6a129f301b13e7,c8721a05227f3ff171f8dc1f559a64d58281c0ae,e1bcf76a8cc7872927b8576d4e20400d72bed4f4647828976e82f636309394e8,336b35f84cc3946046f27db5fedcba9002641f2ae6fc8a9e9031d645be6462d2,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armB/training-state-latest.pt,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armB/training-state-latest.pt,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,PASS,1990,1.1
10,B,3000,384,384000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,aacb7290208772306854f8b08bd78f27471903b4a3d9dba5cb344b28207a4d26,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/network-snapshot-kimg000384.pkl,5dd1ad22339479aa3e1ece4997270240cf7d0628baf103bc004e6ed3e7e1fadf,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2764c71d45530291c695aed2a462a0dc3710d9cf5e7ea360f4cbc8192641275d,c2e762dfa581b6c9cee4c927655d907ec7e7a0ce66646bc0f84213d7a17124cb,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/training-state-kimg000384.pt,5173a6b1532c3589c8dd1e6095ab3fca4fffd77331c08932688d11df5e7cf7b8,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armB/training-state-latest.pt,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,PASS,2990,1.1
10,B,4000,512,512000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,4d578d8ea4b6bd937a56c5e53ccb237ab6f50153e260f1e56fecc03a52e93ac4,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/network-snapshot-kimg000512.pkl,6354e9b3945ca2a04a909547eed178a8e84ba0f24b592a5fb95504695a53fd8e,c8721a05227f3ff171f8dc1f559a64d58281c0ae,ae6e314373b12bf34dea8a0cb22b46b45937f355ca1683ff3ee9752d80e06b63,63acd093e559d29761b288d890970ea849c574f4e5f93b6c02808976158d4b7e,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/training-state-kimg000512.pt,207e31ab74b5759d5cbad507b5df8b4a523eca44cc6bca38413b7a8e02a572a7,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armB/training-state-latest.pt,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,PASS,3990,1.1
11,B,5000,640,640000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,f8c9554a3b7f0dab23b4b25c26c812bf7052384723da28d6287375e705e10a38,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/network-snapshot-kimg000640.pkl,545325879fe7963e48439ab7592b9ff8ab3c94b9b81576d90adbb90801a5949a,c8721a05227f3ff171f8dc1f559a64d58281c0ae,21bbc3fe88f38389796f5e21e18fb88097858bc9b5bbc3f4a110f0b4c86b4ec2,b346f72e638b6cce92eb2af73d49e5c62452a08e37a6325c95895efed5bd74fb,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/training-state-kimg000640.pt,f6f2810d6416703315fde1914cc785dbc249d73e02e946b1e05cf2a9fc09dd1a,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armB/training-state-latest.pt,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,PASS,4989,1.1
11,B,6000,768,768000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,ccdabc3bb948e32c586b034f989c648e060d1cae8884375234438e188958100c,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/network-snapshot-kimg000768.pkl,caaba9c5366200e030bb09315ae79978a82dacd8af3ef728160214138b0fed7a,c8721a05227f3ff171f8dc1f559a64d58281c0ae,afd878cfda70c47bae4fcb8f383c2186e1dad106375a92d6386666278aa3169e,46295c5b7b79b96f35e7ad660c1e859df169cb9e09d923a96945e7524a973513,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/training-state-kimg000768.pt,189d70cea63f5958427af8e584af08130093cdfd528ce65ec0645542eea35be0,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armB/training-state-latest.pt,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,PASS,5989,1.1
11,B,7000,896,896000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,6ae9355b25dade5f8a0e03921f56bc8a4200c80473d1a7ddade2403626a8b52e,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/network-snapshot-kimg000896.pkl,2718661b1257d06ae30a0aa5de1209a52f1070f5ca3591144b2f6e4d6d974a9c,c8721a05227f3ff171f8dc1f559a64d58281c0ae,8143e6103dd03341b79d17a896f9a1c739795d59ac63f376f252375c766dded0,c5f7df972c15d53ad8370cb395b6e0b508e84b14ff3d7b99ece0749f914fd965,,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armB/training-state-kimg000896.pt,7efac4484aa9ad4728a93c345eb326089fef4e2c1bd9fab72951a5a68802b758,,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/source_states/formal-direct-dcca41b-deterministic-v1/seed3/armB/training-state-latest.pt,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,PASS,6989,1.1
