amp_skips,arm,attempted_iteration,crash_recovery_count,cur_nimg,ema_model_canonical_sha256,final_kimg,final_state_sha256,formal_launch_end_count,formal_launch_start_count,online_model_canonical_sha256,optimizer_canonical_sha256,parity,seed,source_256_state_sha256,source_and_replay_log_load_lines,status,successful_optimizer_steps
12,A,8000,0,1024000,7b5a6e1a12a504b32729d102f02d904b354d010ef84666c8f7c765eb20b812fa,1024,23d28652dce268e05b015d8cc371d8603cc1f71480de247901ab1f3c7f9d1bd0,1,1,aac046a9e8a6ed234dce4439ffb6a3f93d4254187959566b07c2ad2a9f13c1bc,1985ea4719ca10b11d68d776d66246bfd3d162fea12bb661bdcf8552c46edd22,BITWISE_EQUIVALENT,3,bea5514105a38209c2395e27e026aab8e1d7f59ac810c0f18f9937b9ac1f848b,1,PASS,7988
12,B,8000,0,1024000,798f4e89a1ada5b14798bb4f106bc8e11c9f6551667d06834c24c8c1262b34dd,1024,3b2594de86095f94409028e4c8f7e7c6a1ad765ef9599b839a2b649a712c8109,1,1,6a3b0d4ddbfabba19c9eda47e03fc92390c38d4eea16aad0254d18186fe95e97,bd9491126126b5255092cac64eeff462cbd4005580b8e7543e19338f92e213c5,BITWISE_EQUIVALENT,3,6a1ad0d0c9feaa7cbee0b67e727cdd0fe32e07781b0cacb9caa612721dc6f288,1,PASS,7988
13,C,8000,0,1024000,6f5eb3448cf863a19cb828e1c947b74fbc29ee9665ea326cb0d108fbd426388d,1024,8735c42b4d3ba62abef9f9ec82830b68ff7a735b2cb709e29284749c52bfd5cd,1,1,c0cf400bae974bd3d4bcb6874bccfebcf95f647e3d2a68bfb9abf078dfdf97c3,6db492e859e1b98bd200fdb6c03d8398d205009d3ccd06185091a1edf02c5326,BITWISE_EQUIVALENT,3,cd1620aab9a10a865058138e0540970fe2728ba459d0f81d2e4984914d6b2c78,2,PASS,7987
12,D,8000,0,1024000,270c68b15dbc94cb400cf6e7779d9add54839e6c41c853cb9e056f343e9bcc5b,1024,3f35cb933e0d597a383881e96579b50d5c4b6d13dc1362a4253b505ddbd2734b,1,1,6c5fb87c1f3428ba288e132cccd107d0bc265efa866dbad18c9828f376535c76,72927a40adafb4aa93f28fca55d0f37129281435bc2610136163d6ef05ab4d6d,BITWISE_EQUIVALENT,3,70e29b74ac2bfcd57bfb7064eb9ce8c0358b92af34ee55c835a653e8dfa521a3,1,PASS,7988
13,A,8000,0,1024000,636066f14afd980334314ce089e79450f8a7f1a64ec64b8c56ce006d42fb0fd4,1024,ba242f8b2ee0a448072a0fba3786d2e6a458fbaeb1b789269975b62d9fc0cdcd,1,1,42b0e2a9fbd71c1b5d0012e048a4252833ea1da438c3180393894abc2185357f,cee56839abe8d5013376129e019eb43dde8d52964610dcf184ef6f1801bf4428,BITWISE_EQUIVALENT,4,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,1,PASS,7987
12,B,8000,0,1024000,9dce575573faf3f4ba699883c42b8fd5c4c093d2751ed253c2298b62b0a00196,1024,f952d6e9b227c25a8ddf37d78dfc008e6524107a60a48a318cdc8334120e32b6,1,1,07522437fc91999ab1b3005812998f37da46671f293c974f5b413dbd5740c442,00e4771283a7d4f722c80b44201ec5b15c7269757f70e7807d269eb35f1c1485,BITWISE_EQUIVALENT,4,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,1,PASS,7988
13,C,8000,0,1024000,87b938c4443d8c2c15609270888fa690845115424a4e46823dc609ab7e8813bb,1024,68fa736ab9e47d6f1db5f78d41e0031f32e5589d53038e2e688b18a5b072d737,1,1,2a495690fbd66caa1049a557bda870e9e2729942ecff7b539cb99e826ef4d30d,60fe746bd740b320dc849b4810d3abd664464440c6ca2342176187761c0d4a08,BITWISE_EQUIVALENT,4,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,2,PASS,7987
12,D,8000,0,1024000,87038c14c7e98aba5055b8db45efa8728cd79ae3dd4f077fda130df2c672f50b,1024,8371490bf29128e6560e5924cfb2cebd823c8eb7f9b34b92cebaa8e0793c7d69,1,1,f19a17b5297b222025a9932460c502ac60d388b8b94adadfd59b6c1e052f6b28,ad0e6d565b694778f6ac95a7d359b7f3daf2b4ee744af00835176d960b598533,BITWISE_EQUIVALENT,4,17978a63554836a66b552c251d0e9bb45a4d96d4e4a43375139524323bb386f4,1,PASS,7988
13,A,8000,0,1024000,a5f1a278a1fb217199046a3d160c7ea271290ba75704b1eef5397a740551de44,1024,ab130fccf9d6e8b8175f54e14d6b1c3a3651baca349baceabc82072259c894cf,1,1,1f58403ea4da9feb3a2895054b51206aa540246207add9a4bfe21269740f07fb,4c9de7899abf4d90e1b18e706cddd52319383f911b8bb2fc0774e8e93e08fe03,BITWISE_EQUIVALENT,5,7a7be048f735b31e4502e26047e4fd33cedce721da6227a599cd71db791e61d7,1,PASS,7987
12,B,8000,0,1024000,e9358e886e14fa5a5efebfd5f6ff8dbfa147cc1e894024d93155e929ccef7065,1024,f878b9b24f71f28b03f00c0da7d1473f7d1c1cb7e37cf0997c2441dabc7e5b7a,1,1,baeeb0eaab53ce1d1a250360ecafccbdad248b0a121b8cd3a014325e4bdf0944,2dd6b1b5e2ab86914fd289a886ce4faefb8dfcf2eae8d5e5ac571963b975e884,BITWISE_EQUIVALENT,5,ce30ab23fdd93d2e11ffd58e08233d14b9d7ddff7ba59358eb5f1585f7eb244c,1,PASS,7988
13,C,8000,0,1024000,ce8a55f45e0f802ed417a0968175d5a393805594b8b5056a40343266a84e7c38,1024,80f7af7c7af7ef615944aa86ea295d1d1fb98d27ee1c88a128930d43fa17a610,1,1,545d57a0e229f0c1e7c98f9214294f4e6f790a0cb81453db1c28176ec9df194a,2739468457d56b814dcfd2d5c0ba46f590f3d929504d71f734ee04a6e15fb21c,BITWISE_EQUIVALENT,5,1de48f490577e8def3838fc2afecbd67a780b82bf9711ec9c7008632bf7641ba,1,PASS,7987
14,D,8000,0,1024000,1fa71922fe30e8b4a9f92ac0cdb5250c10f5e13c451e8b558d87863c826fd67c,1024,27cb00b43f2cc7caff8181e51ff4543fa9c5f790040c47334bce5d3f4970e4d1,1,1,af007c965b54fd942b2d2c6f11277a308e076a2f0297fbc47f15329371ac7b6f,acd7b439bd76a453f7575e85a8291c9d2e03f5d643e6a55c47c5febdb3cf0949,BITWISE_EQUIVALENT,5,da04fbc6fe6f475e9eec88de12359600263e87be536168f1f78303bc72d2cd25,1,PASS,7986
