phase,seed,arm,budget_kimg,nfe,fid50k_full,kid50k_full
primary_nfe1,3,A,768,1,10.756250737016597,0.006900393711211209
primary_nfe1,3,B,768,1,10.131339433516576,0.006458170007507502
primary_nfe1,4,A,768,1,8.845749743279546,0.0052746340065064935
primary_nfe1,4,B,768,1,8.963437037757014,0.005234555097597599
primary_nfe1,5,A,768,1,9.799395503898612,0.0059825431831832115
primary_nfe1,5,B,768,1,9.643773696164075,0.00593914156156155
primary_nfe1,3,A,896,1,9.635335965695488,0.006034689369369398
primary_nfe1,3,B,896,1,9.221746023250926,0.005839701253753783
primary_nfe1,4,A,896,1,8.228713068518957,0.004959575678178198
primary_nfe1,4,B,896,1,8.520899083327997,0.005176242232232202
primary_nfe1,5,A,896,1,8.967594739070964,0.005622107847847851
primary_nfe1,5,B,896,1,8.587823768630395,0.005302725558058028
primary_nfe1,3,A,1024,1,9.46137543201393,0.006005159386886913
primary_nfe1,3,B,1024,1,8.760264625376726,0.005544640277777785
primary_nfe1,4,A,1024,1,8.167003348330324,0.00505161341341342
primary_nfe1,4,B,1024,1,8.412189271270686,0.005245547172172174
primary_nfe1,5,A,1024,1,8.766631908630757,0.0056423956381381
primary_nfe1,5,B,1024,1,8.381100430828242,0.00532753443693693
primary_nfe1,3,A,640,1,12.170882267916879,0.007949131318818805
primary_nfe1,3,B,640,1,12.29277779534012,0.008018346031031019
primary_nfe1,4,A,640,1,11.815916324599621,0.007358566944444419
primary_nfe1,4,B,640,1,11.814579888795645,0.007201956894394402
primary_nfe1,5,A,640,1,12.665014485882322,0.007954655625625638
primary_nfe1,5,B,640,1,12.50517679150568,0.008051194739739725
primary_nfe1,3,A,512,1,19.9446431997046,0.014461312357357361
primary_nfe1,3,B,512,1,33.39304453942802,0.025754356551551547
primary_nfe1,4,A,512,1,35.40135231976663,0.028483426141141122
primary_nfe1,4,B,512,1,36.603542888514355,0.028989057037037025
primary_nfe1,5,A,512,1,35.66407614327825,0.029005650085085072
primary_nfe1,5,B,512,1,36.15779812153293,0.02907522914164162
secondary_nfe2,3,A,768,2,3.152353833117942,0.0013240692342342208
secondary_nfe2,3,B,768,2,3.1619141486002276,0.0011475498273273298
secondary_nfe2,4,A,768,2,3.2277602415481055,0.0010935557682682701
secondary_nfe2,4,B,768,2,3.215338782074798,0.0010614459659659314
secondary_nfe2,5,A,768,2,3.5221685711334243,0.0013048954829829608
secondary_nfe2,5,B,768,2,3.428393813523379,0.0012398357532532782
secondary_nfe2,3,A,896,2,3.0185689549601253,0.0011779521571571785
secondary_nfe2,3,B,896,2,3.033802185761341,0.001110432439939923
secondary_nfe2,4,A,896,2,2.9706375283631443,0.0010336023823823552
secondary_nfe2,4,B,896,2,3.0156006422120587,0.0010808394244244527
secondary_nfe2,5,A,896,2,3.1172850225192583,0.0011237740640640595
secondary_nfe2,5,B,896,2,3.1105639274193475,0.0011032332382382311
secondary_nfe2,3,A,1024,2,3.0240451173815877,0.0011786198623624023
secondary_nfe2,3,B,1024,2,2.984275780358463,0.00109852223723728
secondary_nfe2,4,A,1024,2,2.9170968591687063,0.001039417124624606
secondary_nfe2,4,B,1024,2,2.88518753384507,0.0010327097547547645
secondary_nfe2,5,A,1024,2,3.004353992824494,0.0010963342892893115
secondary_nfe2,5,B,1024,2,3.0000145820136295,0.0011244842042042
