job_index,phase,seed,arm,budget_kimg,nfe,mid_t,checkpoint_path,checkpoint_sha256,metrics,sample_count,sample_seed_start,sample_seed_end,metric_seed,evaluation_precision,evaluation_batch,metric_generator_batch,kid_subset_size,kid_num_subsets,kid_display_scale,dataset_sha256,detector_sha256,fid_reference_sha256,kid_reference_sha256,evaluator_commit,status
0,primary_nfe1,3,A,768,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed3/armA/network-snapshot-kimg000768.pkl,a6029c9372cc92b9cc2168cef7fd2cb65a3c4fdf18acb0a4c6dfea22caa69c6c,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
1,primary_nfe1,3,B,768,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed3/armB/network-snapshot-kimg000768.pkl,508a953429f2b418aeb818cd4a8324576416144391eb6af900e3adaa81ca7c46,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
2,primary_nfe1,4,A,768,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed4/armA/network-snapshot-kimg000768.pkl,0ac95dc38c89eee429bbf4dc8533a6cab78a2c1e03a8e46786ef9c2bc21aeb63,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
3,primary_nfe1,4,B,768,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed4/armB/network-snapshot-kimg000768.pkl,c845c6b62b241ef99bf06b44b5f849e401b82ca67593a0607edd3f46ab21fde9,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
4,primary_nfe1,5,A,768,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed5/armA/network-snapshot-kimg000768.pkl,5d7be6e6c5c6d481db7386dc1c058fbbb6a5a865d5a178e07b653761bf3ce1c1,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
5,primary_nfe1,5,B,768,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed5/armB/network-snapshot-kimg000768.pkl,c08d50df433686edf23bdafe652fd6fb2e8b1a0415d9197db5acdf02d66e3be2,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
6,primary_nfe1,3,A,896,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed3/armA/network-snapshot-kimg000896.pkl,7f3ce932c816b60e592505baa6382b1f5512e77e198d4cc50de59c96e2c19eae,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
7,primary_nfe1,3,B,896,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed3/armB/network-snapshot-kimg000896.pkl,4d5620863749132c49b0e283b828f6975076e1be1651b74d9b8c0e7d8ba530f1,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
8,primary_nfe1,4,A,896,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed4/armA/network-snapshot-kimg000896.pkl,cc5e26339623b76d2b8d091508e1907407f51e769a767ecdef2dda7dda30b6ab,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
9,primary_nfe1,4,B,896,1,[],/root/second_q_q128_ab_v2/runs/second-q-q128-ab-v2/seed4/armB/network-snapshot-kimg000896.pkl,829fe3933cf64728aa729d4c3dcd7cb6bee5114f7be9dc57b8f32d83a47ddb05,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c1e2a197010727cc463eca01a5e14ad6b6ba50db,FROZEN_NOT_RUN
