g,K,noise,error
0.5,50,0.0,9.876225374157688e-05
0.5,50,0.01,0.0002875292735266182
0.5,50,0.05,0.004817937748367612
0.5,200,0.0,9.867621013107988e-05
0.5,200,0.01,0.0008287096590410178
0.5,200,0.05,0.018349512432879536
0.5,1000,0.0,9.821857532293252e-05
0.5,1000,0.01,0.003707052171110869
0.5,1000,0.05,0.09031905847002138
0.55,50,0.0,9.875611024302058e-05
0.55,50,0.01,0.0002862998782697736
0.55,50,0.05,0.004787350310911848
0.55,200,0.0,9.865201333887688e-05
0.55,200,0.01,0.0008273799949918029
0.55,200,0.05,0.018316851554662034
0.55,1000,0.0,9.809868019024053e-05
0.55,1000,0.01,0.003703522826646824
0.55,1000,0.05,0.09023370234160484
0.6,50,0.0,9.874939328381244e-05
0.6,50,0.01,0.0002853739119735844
0.6,50,0.05,0.004764362360528111
0.6,200,0.0,9.862553003726934e-05
0.6,200,0.01,0.0008263442326827463
0.6,200,0.05,0.018291593096174202
0.6,1000,0.0,9.796754523252327e-05
0.6,1000,0.01,0.003700080072646533
0.6,1000,0.05,0.09015078073058279
0.65,50,0.0,9.874210297808028e-05
0.65,50,0.01,0.00028466393617482873
0.65,50,0.05,0.004746787932896793
0.65,200,0.0,9.859676205943361e-05
0.65,200,0.01,0.0008255149396914057
0.65,200,0.05,0.01827155120285874
0.65,1000,0.0,9.782521587543155e-05
0.65,1000,0.01,0.0036966370693871466
0.65,1000,0.05,0.09006812155366833
0.7,50,0.0,9.873423944986753e-05
0.7,50,0.01,0.000284113171871225
0.7,50,0.05,0.004733207549983806
0.7,200,0.0,9.856571139692306e-05
0.7,200,0.01,0.0008248353436043498
0.7,200,0.05,0.0182553065165826
0.7,1000,0.0,9.767174137945733e-05
0.7,1000,0.01,0.0036931376877114112
0.7,1000,0.05,0.08998432039967832
0.75,50,0.0,9.872580283310143e-05
0.75,50,0.01,0.0002836838759705151
0.75,50,0.05,0.004722677631268445
0.75,200,0.0,9.853238019944771e-05
0.75,200,0.01,0.0008242677084346987
0.75,200,0.05,0.018241915586080727
0.75,1000,0.0,9.750717481157658e-05
0.75,1000,0.01,0.003689544884995488
0.75,1000,0.05,0.08989844992940939
0.8,50,0.0,9.87167932715876e-05
0.8,50,0.01,0.0002833507260356081
0.8,50,0.05,0.004714565112372102
0.8,200,0.0,9.849677077461815e-05
0.8,200,0.01,0.000823786719387934
0.8,200,0.05,0.01823074548610752
0.8,1000,0.0,9.733157301464137e-05
0.8,1000,0.01,0.003685834089717899
0.8,1000,0.05,0.0898098944905961
0.85,50,0.0,9.870721091900965e-05
0.85,50,0.01,0.0002830969847900903
0.85,50,0.05,0.004708451557696025
0.85,200,0.0,9.845888558769706e-05
0.85,200,0.01,0.0008233756473311625
0.85,200,0.05,0.018221377929174335
0.85,1000,0.0,9.714499657476029e-05
0.85,1000,0.01,0.0036819893654104884
0.85,1000,0.05,0.08971825421746801
0.9,50,0.0,9.86970559389201e-05
0.9,50,0.01,0.0002829123353218315
0.9,50,0.05,0.004704079040511709
0.9,200,0.0,9.841872726129412e-05
0.9,200,0.01,0.0008230241840394421
0.9,200,0.05,0.018213555146715
0.9,1000,0.0,9.694750978637038e-05
0.9,1000,0.01,0.0036780012457803516
0.9,1000,0.05,0.0896232909096359
0.95,50,0.0,9.86863285047384e-05
0.95,50,0.01,0.000282791860450901
0.95,50,0.05,0.0047013246271588064
0.95,200,0.0,9.837629857507701e-05
0.95,200,0.01,0.0008227274215357723
0.95,200,0.05,0.018207154372592467
0.95,1000,0.0,9.673918061539612e-05
0.95,1000,0.01,0.0036738657135315747
0.95,1000,0.05,0.0895249025035199
1.0,50,0.0,9.867502879974646e-05
1.0,50,0.01,0.00028273601292807334
1.0,50,0.05,0.004700199632007921
1.0,200,0.0,9.833160246545128e-05
1.0,200,0.01,0.000822485822291845
1.0,200,0.05,0.018202187098125305
1.0,1000,0.0,9.652008066028632e-05
1.0,1000,0.01,0.003669584170188907
1.0,1000,0.05,0.08942312231887582
1.05,50,0.0,9.866315701708368e-05
1.05,50,0.01,0.000282751789308593
1.05,50,0.05,0.0047008789643048195
1.05,200,0.0,9.828464202522347e-05
1.05,200,0.01,0.0008223063931018958
1.05,200,0.05,0.018198828418942034
1.05,1000,0.0,9.629028511102707e-05
1.05,1000,0.01,0.0036651646095580805
1.05,1000,0.05,0.08931814839628739
1.1,50,0.0,9.865071335973626e-05
1.1,50,0.01,0.0002828559333178332
1.1,50,0.05,0.0047037812123121615
1.1,200,0.0,9.823542050322637e-05
1.1,200,0.01,0.0008222058884666228
1.1,200,0.05,0.01819749711958815
1.1,1000,0.0,9.604987270607424e-05
1.1,1000,0.01,0.0036606248207734803
1.1,1000,0.05,0.08921042357439127
1.15,50,0.0,9.86376980405414e-05
1.15,50,0.01,0.0002830824728055991
1.15,50,0.05,0.004709757067166985
1.15,200,0.0,9.818394130398177e-05
1.15,200,0.01,0.0008222183475078139
1.15,200,0.05,0.01819904409639979
1.15,1000,0.0,9.57989256875878e-05
1.15,1000,0.01,0.0036559999245532604
1.15,1000,0.05,0.08910082389732943
1.2,50,0.0,9.862411128217051e-05
1.2,50,0.01,0.0002835013437426986
1.2,50,0.05,0.004720554922795373
1.2,200,0.0,9.813020798726867e-05
1.2,200,0.01,0.0008224137180046447
1.2,200,0.05,0.01820521795842167
1.2,1000,0.0,9.55375297543778e-05
1.2,1000,0.01,0.0036513609969701178
1.2,1000,0.05,0.08899112421014789
1.25,50,0.0,9.860995331713195e-05
1.25,50,0.01,0.0002842713244618291
1.25,50,0.05,0.004740144231934562
1.25,200,0.0,9.807422426774937e-05
1.25,200,0.01,0.0008229507906005025
1.25,200,0.05,0.018219988382586583
1.25,1000,0.0,9.526577401332983e-05
1.25,1000,0.01,0.003646868002988686
1.25,1000,0.05,0.08888532149839726
1.3,50,0.0,9.85952243877594e-05
1.3,50,0.01,0.0002858311442703341
1.3,50,0.05,0.004779493221452127
1.3,200,0.0,9.801599401452082e-05
1.3,200,0.01,0.0008242683074327203
1.3,200,0.05,0.018254323829469517
1.3,1000,0.0,9.498375092870725e-05
1.3,1000,0.01,0.0036429609046727163
1.3,1000,0.05,0.08879441259452894
1.35,50,0.0,9.857992498989464e-05
1.35,50,0.01,0.0002899683680273588
1.35,50,0.05,0.0048832910009265
1.35,200,0.0,9.795552125066514e-05
1.35,200,0.01,0.000828153846495304
1.35,200,0.05,0.01835291365236664
1.35,1000,0.0,9.469155626973248e-05
1.35,1000,0.01,0.003641428545031192
1.35,1000,0.05,0.08876311627530625
1.4,50,0.0,9.98039032851024e-05
1.4,50,0.01,0.0003224764017955416
1.4,50,0.05,0.005666616366046084
1.4,200,0.0,9.789281243205465e-05
1.4,200,0.01,0.0008596858498900343
1.4,200,0.05,0.01914271874888155
1.4,1000,0.0,9.438928905657359e-05
1.4,1000,0.01,0.0036673506742844744
1.4,1000,0.05,0.08941842391975412
1.45,50,0.0,1.250469642910266
1.45,50,0.01,1.2506499796166923
1.45,50,0.05,1.25497806057093
1.45,200,0.0,2357592633553.2275
1.45,200,0.01,2357592633553.229
1.45,200,0.05,2357592633553.246
1.45,1000,0.0,6.941093810229984e+77
1.45,1000,0.01,6.941093810229985e+77
1.45,1000,0.05,6.941093810229985e+77
1.5,50,0.0,349185.10710489046
1.5,50,0.01,349185.10728521185
1.5,50,0.05,349185.11161292944
1.5,200,0.0,1.4339512560274437e+34
1.5,200,0.01,1.4339512560274437e+34
1.5,200,0.05,1.4339512560274437e+34
1.5,1000,0.0,5.777686796178007e+186
1.5,1000,0.01,5.777686796178005e+186
1.5,1000,0.05,5.777686796178005e+186
1.55,50,0.0,34289539077.501625
1.55,50,0.01,34289539077.5018
1.55,50,0.05,34289539077.506126
1.55,200,0.0,1.333388187140673e+54
1.55,200,0.01,1.333388187140673e+54
1.55,200,0.05,1.333388187140673e+54
1.55,1000,0.0,4.016641165522305e+286
1.55,1000,0.01,4.016641165522305e+286
1.55,1000,0.05,4.016641165522305e+286
1.6,50,0.0,1412871959890767.8
1.6,50,0.01,1412871959890767.5
1.6,50,0.05,1412871959890767.5
1.6,200,0.0,3.84343652658224e+72
1.6,200,0.01,3.84343652658224e+72
1.6,200,0.05,3.84343652658224e+72
1.6,1000,0.0,inf
1.6,1000,0.01,inf
1.6,1000,0.05,inf
1.65,50,0.0,2.794379021123433e+19
1.65,50,0.01,2.794379021123433e+19
1.65,50,0.05,2.794379021123433e+19
1.65,200,0.0,5.880959814343997e+89
1.65,200,0.01,5.880959814343997e+89
1.65,200,0.05,5.880959814343997e+89
1.65,1000,0.0,inf
1.65,1000,0.01,inf
1.65,1000,0.05,inf
1.7,50,0.0,2.945883730375891e+23
1.7,50,0.01,2.945883730375892e+23
1.7,50,0.05,2.945883730375892e+23
1.7,200,0.0,7.263866349939799e+105
1.7,200,0.01,7.263866349939802e+105
1.7,200,0.05,7.263866349939802e+105
1.7,1000,0.0,inf
1.7,1000,0.01,inf
1.7,1000,0.05,inf
1.75,50,0.0,1.7991193248807924e+27
1.75,50,0.01,1.799119324880792e+27
1.75,50,0.05,1.799119324880792e+27
1.75,200,0.0,1.0105173745518494e+121
1.75,200,0.01,1.0105173745518496e+121
1.75,200,0.05,1.0105173745518496e+121
1.75,1000,0.0,inf
1.75,1000,0.01,inf
1.75,1000,0.05,inf
1.8,50,0.0,6.808533514976518e+30
1.8,50,0.01,6.808533514976516e+30
1.8,50,0.05,6.808533514976516e+30
1.8,200,0.0,2.072605771628355e+135
1.8,200,0.01,2.0726057716283553e+135
1.8,200,0.05,2.0726057716283553e+135
1.8,1000,0.0,inf
1.8,1000,0.01,inf
1.8,1000,0.05,inf
1.85,50,0.0,1.6872459777906077e+34
1.85,50,0.01,1.6872459777906072e+34
1.85,50,0.05,1.6872459777906072e+34
1.85,200,0.0,7.816538368753186e+148
1.85,200,0.01,7.816538368753185e+148
1.85,200,0.05,7.816538368753185e+148
1.85,1000,0.0,inf
1.85,1000,0.01,inf
1.85,1000,0.05,inf
1.9,50,0.0,2.8665612513591433e+37
1.9,50,0.01,2.866561251359144e+37
1.9,50,0.05,2.866561251359144e+37
1.9,200,0.0,6.512447496779321e+161
1.9,200,0.01,6.512447496779323e+161
1.9,200,0.05,6.512447496779323e+161
1.9,1000,0.0,inf
1.9,1000,0.01,inf
1.9,1000,0.05,inf
1.95,50,0.0,3.4701458068931685e+40
1.95,50,0.01,3.470145806893169e+40
1.95,50,0.05,3.470145806893169e+40
1.95,200,0.0,1.3985844531700983e+174
1.95,200,0.01,1.398584453170098e+174
1.95,200,0.05,1.398584453170098e+174
1.95,1000,0.0,inf
1.95,1000,0.01,inf
1.95,1000,0.05,inf
2.0,50,0.0,3.0928036637616316e+43
2.0,50,0.01,3.092803663761632e+43
2.0,50,0.05,3.092803663761632e+43
2.0,200,0.0,8.824816440545066e+185
2.0,200,0.01,8.82481644054506e+185
2.0,200,0.05,8.82481644054506e+185
2.0,1000,0.0,inf
2.0,1000,0.01,inf
2.0,1000,0.05,inf
