eta_scale,setting,g,K,env,error
0.25,trace_matched,0.5,50,1,0.024847305396109198
0.25,trace_matched,0.5,50,2,0.024855157101875983
0.25,trace_matched,0.525,50,1,0.024948772645690617
0.25,trace_matched,0.525,50,2,0.02495757966761241
0.25,trace_matched,0.55,50,1,0.025045811143869636
0.25,trace_matched,0.55,50,2,0.02505562039681184
0.25,trace_matched,0.575,50,1,0.025142597886538307
0.25,trace_matched,0.575,50,2,0.025153455997716373
0.25,trace_matched,0.6,50,1,0.02524157919965095
0.25,trace_matched,0.6,50,2,0.025253532617275087
0.25,trace_matched,0.625,50,1,0.02534414659475459
0.25,trace_matched,0.625,50,2,0.025357241654221704
0.25,trace_matched,0.65,50,1,0.025451083482821286
0.25,trace_matched,0.65,50,2,0.02546536644485212
0.25,trace_matched,0.675,50,1,0.025562842042579716
0.25,trace_matched,0.675,50,2,0.025578359113970828
0.25,trace_matched,0.7,50,1,0.02567970487316179
0.25,trace_matched,0.7,50,2,0.0256965022173884
0.25,trace_matched,0.725,50,1,0.025801874204048537
0.25,trace_matched,0.725,50,2,0.025819997946267534
0.25,trace_matched,0.75,50,1,0.025929518571901893
0.25,trace_matched,0.75,50,2,0.0259490148010253
0.25,trace_matched,0.775,50,1,0.026062796073819408
0.25,trace_matched,0.775,50,2,0.026083710843128948
0.25,trace_matched,0.8,50,1,0.0262018654905153
0.25,trace_matched,0.8,50,2,0.02622424481757914
0.25,trace_matched,0.825,50,1,0.026346891498320767
0.25,trace_matched,0.825,50,2,0.026370781364583797
0.25,trace_matched,0.85,50,1,0.026498047175619596
0.25,trace_matched,0.85,50,2,0.026523493525836793
0.25,trace_matched,0.875,50,1,0.02665551535545591
0.25,trace_matched,0.875,50,2,0.02668256409704129
0.25,trace_matched,0.9,50,1,0.026819489531711913
0.25,trace_matched,0.9,50,2,0.02684818653403115
0.25,trace_matched,0.925,50,1,0.026990174623843354
0.25,trace_matched,0.925,50,2,0.027020565717458853
0.25,trace_matched,0.95,50,1,0.027167787725793636
0.25,trace_matched,0.95,50,2,0.027199918701663228
0.25,trace_matched,0.975,50,1,0.027352558889958092
0.25,trace_matched,0.975,50,2,0.027386475498585115
0.25,trace_matched,1.0,50,1,0.027544731968095513
0.25,trace_matched,1.0,50,2,0.027580479918626725
0.25,trace_matched,1.025,50,1,0.027744565520832105
0.25,trace_matched,1.025,50,2,0.027782190480099188
0.25,trace_matched,1.05,50,1,0.02795233380434541
0.25,trace_matched,1.05,50,2,0.027991881395845408
0.25,trace_matched,1.075,50,1,0.028168327842385172
0.25,trace_matched,1.075,50,2,0.028209843645194244
0.25,trace_matched,1.1,50,1,0.028392856592306757
0.25,trace_matched,1.1,50,2,0.028436386139921832
0.25,trace_matched,1.125,50,1,0.028626248214686453
0.25,trace_matched,1.125,50,2,0.02867183699378797
0.25,trace_matched,1.15,50,1,0.028868851457195262
0.25,trace_matched,1.15,50,2,0.02891654490632419
0.25,trace_matched,1.175,50,1,0.029121037164684282
0.25,trace_matched,1.175,50,2,0.029170880672825344
0.25,trace_matched,1.2,50,1,0.02938319992890187
0.25,trace_matched,1.2,50,2,0.029435238833964556
0.25,trace_matched,1.225,50,1,0.02965575989291741
0.25,trace_matched,1.225,50,2,0.029710039480104956
0.25,trace_matched,1.25,50,1,0.029939164727241997
0.25,trace_matched,1.25,50,2,0.029995730227297776
0.25,trace_matched,1.275,50,1,0.030233891796797203
0.25,trace_matched,1.275,50,2,0.030292788384116722
0.25,trace_matched,1.3,50,1,0.030540450540387433
0.25,trace_matched,1.3,50,2,0.0306017233309826
0.25,trace_matched,1.325,50,1,0.030859385087192263
0.25,trace_matched,1.325,50,2,0.03092307913649339
0.25,trace_matched,1.35,50,1,0.031191277138081536
0.25,trace_matched,1.35,50,2,0.03125743743856046
0.25,trace_matched,1.375,50,1,0.03153674914338054
0.25,trace_matched,1.375,50,2,0.031605420621976674
0.25,trace_matched,1.4,50,1,0.03189646781308166
0.25,trace_matched,1.4,50,2,0.031967695328410095
0.25,trace_matched,1.425,50,1,0.03227114800062249
0.25,trace_matched,1.425,50,2,0.03234497633994115
0.25,trace_matched,1.45,50,1,0.03266155700725421
0.25,trace_matched,1.45,50,2,0.03273803088316387
0.25,trace_matched,0.5,200,1,0.024890916897653787
0.25,trace_matched,0.5,200,2,0.024926958236165923
0.25,trace_matched,0.525,200,1,0.024973937046128426
0.25,trace_matched,0.525,200,2,0.025013818610653212
0.25,trace_matched,0.55,200,1,0.02506158343636782
0.25,trace_matched,0.55,200,2,0.025105491341282198
0.25,trace_matched,0.575,200,1,0.025153945567811982
0.25,trace_matched,0.575,200,2,0.02520206580687523
0.25,trace_matched,0.6,200,1,0.025251118795854864
0.25,trace_matched,0.6,200,2,0.02530363724105248
0.25,trace_matched,0.625,200,1,0.02535320459420509
0.25,trace_matched,0.625,200,2,0.025410306994577303
0.25,trace_matched,0.65,200,1,0.025460310838127317
0.25,trace_matched,0.65,200,2,0.025522182818580885
0.25,trace_matched,0.675,200,1,0.025572552110198547
0.25,trace_matched,0.675,200,2,0.025639379170300493
0.25,trace_matched,0.7,200,1,0.02569005003028118
0.25,trace_matched,0.7,200,2,0.025762017543032884
0.25,trace_matched,0.725,200,1,0.025812933611580786
0.25,trace_matched,0.725,200,2,0.025890226822170844
0.25,trace_matched,0.75,200,1,0.025941339644840605
0.25,trace_matched,0.75,200,2,0.02602414366937479
0.25,trace_matched,0.775,200,1,0.02607541311293185
0.25,trace_matched,0.775,200,2,0.026163912937138257
0.25,trace_matched,0.8,200,1,0.02621530763832833
0.25,trace_matched,0.8,200,2,0.026309688116235515
0.25,trace_matched,0.825,200,1,0.026361185966207058
0.25,trace_matched,0.825,200,2,0.026461631818793224
0.25,trace_matched,0.85,200,1,0.026513220486197756
0.25,trace_matched,0.85,200,2,0.026619916300008425
0.25,trace_matched,0.875,200,1,0.026671593796121457
0.25,trace_matched,0.875,200,2,0.02678472402185304
0.25,trace_matched,0.9,200,1,0.026836499311404926
0.25,trace_matched,0.9,200,2,0.026956248262451427
0.25,trace_matched,0.925,200,1,0.027008141924249822
0.25,trace_matched,0.925,200,2,0.02713469377520951
0.25,trace_matched,0.95,200,1,0.0271867387170751
0.25,trace_matched,0.95,200,2,0.02732027750221382
0.25,trace_matched,0.975,200,1,0.027372519735237157
0.25,trace_matched,0.975,200,2,0.027513229346904707
0.25,trace_matched,1.0,200,1,0.027565728824583805
0.25,trace_matched,1.0,200,2,0.027713793011579144
0.25,trace_matched,1.025,200,1,0.027766624540015338
0.25,trace_matched,1.025,200,2,0.027922226905896384
0.25,trace_matched,1.05,200,1,0.027975481131919926
0.25,trace_matched,1.05,200,2,0.028138805133253137
0.25,trace_matched,1.075,200,1,0.02819258961813311
0.25,trace_matched,1.075,200,2,0.02836381856267736
0.25,trace_matched,1.1,200,1,0.028418258949957146
0.25,trace_matched,1.1,200,2,0.02859757599477629
0.25,trace_matched,1.125,200,1,0.028652817281773258
0.25,trace_matched,1.125,200,2,0.028840405431270807
0.25,trace_matched,1.15,200,1,0.028896613354914866
0.25,trace_matched,1.15,200,2,0.0290926554587838
0.25,trace_matched,1.175,200,1,0.02915001800775295
0.25,trace_matched,1.175,200,2,0.029354696758832566
0.25,trace_matched,1.2,200,1,0.029413425825413175
0.25,trace_matched,1.2,200,2,0.02962692375744482
0.25,trace_matched,1.225,200,1,0.029687256944199766
0.25,trace_matched,1.225,200,2,0.02990975642947129
0.25,trace_matched,1.25,200,1,0.0299719590277162
0.25,trace_matched,1.25,200,2,0.030203642274584885
0.25,trace_matched,1.275,200,1,0.030268009433834068
0.25,trace_matched,1.275,200,2,0.030509058484116003
0.25,trace_matched,1.3,200,1,0.030575917594165426
0.25,trace_matched,1.3,200,2,0.030826514320378147
0.25,trace_matched,1.325,200,1,0.030896227630555252
0.25,trace_matched,1.325,200,2,0.031156553732999092
0.25,trace_matched,1.35,200,1,0.03122952123639652
0.25,trace_matched,1.35,200,2,0.03149975824005788
0.25,trace_matched,1.375,200,1,0.03157642085439552
0.25,trace_matched,1.375,200,2,0.031856750105654266
0.25,trace_matched,1.4,200,1,0.03193759318678353
0.25,trace_matched,1.4,200,2,0.032228195849903184
0.25,trace_matched,1.425,200,1,0.03231375307909494
0.25,trace_matched,1.425,200,2,0.03261481013247306
0.25,trace_matched,1.45,200,1,0.032705667824535795
0.25,trace_matched,1.45,200,2,0.03301736005668801
0.25,trace_matched,0.5,1000,1,0.024918908258323363
0.25,trace_matched,0.5,1000,2,0.02510520258704231
0.25,trace_matched,0.525,1000,1,0.025004794759984045
0.25,trace_matched,0.525,1000,2,0.025210286640831983
0.25,trace_matched,0.55,1000,1,0.025095446773550318
0.25,trace_matched,0.55,1000,2,0.025321064294578796
0.25,trace_matched,0.575,1000,1,0.025190953719455813
0.25,trace_matched,0.575,1000,2,0.025437624035842543
0.25,trace_matched,0.6,1000,1,0.025291410870541455
0.25,trace_matched,0.6,1000,2,0.02556006018417811
0.25,trace_matched,0.625,1000,1,0.02539691961431669
0.25,trace_matched,0.625,1000,2,0.02568847315341509
0.25,trace_matched,0.65,1000,1,0.02550758773619735
0.25,trace_matched,0.65,1000,2,0.025822969734913184
0.25,trace_matched,0.675,1000,1,0.02562352972526484
0.25,trace_matched,0.675,1000,2,0.025963663403338482
0.25,trace_matched,0.7,1000,1,0.025744867104242713
0.25,trace_matched,0.7,1000,2,0.026110674646655955
0.25,trace_matched,0.725,1000,1,0.025871728785558025
0.25,trace_matched,0.725,1000,2,0.02626413132220652
0.25,trace_matched,0.75,1000,1,0.026004251455539685
0.25,trace_matched,0.75,1000,2,0.0264241690409192
0.25,trace_matched,0.775,1000,1,0.026142579989012746
0.25,trace_matched,0.775,1000,2,0.026590931581918796
0.25,trace_matched,0.8,1000,1,0.02628686789677698
0.25,trace_matched,0.8,1000,2,0.026764571340016
0.25,trace_matched,0.825,1000,1,0.026437277808711707
0.25,trace_matched,0.825,1000,2,0.026945249808822652
0.25,trace_matched,0.85,1000,1,0.026593981995529703
0.25,trace_matched,0.85,1000,2,0.027133138102513943
0.25,trace_matched,0.875,1000,1,0.02675716293252024
0.25,trace_matched,0.875,1000,2,0.027328417519578287
0.25,trace_matched,0.9,1000,1,0.02692701390896802
0.25,trace_matched,0.9,1000,2,0.027531280152240833
0.25,trace_matched,0.925,1000,1,0.02710373968732732
0.25,trace_matched,0.925,1000,2,0.02774192954563931
0.25,trace_matched,0.95,1000,1,0.02728755721666894
0.25,trace_matched,0.95,1000,2,0.02796058141127093
0.25,trace_matched,0.975,1000,1,0.027478696405405716
0.25,trace_matched,0.975,1000,2,0.028187464399714143
0.25,trace_matched,1.0,1000,1,0.027677400958851343
0.25,trace_matched,1.0,1000,2,0.028422820938180493
0.25,trace_matched,1.025,1000,1,0.027883929287786907
0.25,trace_matched,1.025,1000,2,0.028666908139070545
0.25,trace_matched,1.05,1000,1,0.028098555494901613
0.25,trace_matched,1.05,1000,2,0.028919998786400235
0.25,trace_matched,1.075,1000,1,0.028321570446757892
0.25,trace_matched,1.075,1000,2,0.029182382407746222
0.25,trace_matched,1.1,1000,1,0.028553282939816255
0.25,trace_matched,1.1,1000,2,0.02945436644024625
0.25,trace_matched,1.125,1000,1,0.028794020970053694
0.25,trace_matched,1.125,1000,2,0.029736277500187678
0.25,trace_matched,1.15,1000,1,0.02904413311684243
0.25,trace_matched,1.15,1000,2,0.030028462766849336
0.25,trace_matched,1.175,1000,1,0.029303990053041813
0.25,trace_matched,1.175,1000,2,0.030331291492548977
0.25,trace_matched,1.2,1000,1,0.029573986194721236
0.25,trace_matched,1.2,1000,2,0.030645156652315556
0.25,trace_matched,1.225,1000,1,0.029854541505590654
0.25,trace_matched,1.225,1000,2,0.030970476748258303
0.25,trace_matched,1.25,1000,1,0.030146103473127666
0.25,trace_matched,1.25,1000,2,0.0313076977856226
0.25,trace_matched,1.275,1000,1,0.030449149275552975
0.25,trace_matched,1.275,1000,2,0.031657295439684645
0.25,trace_matched,1.3,1000,1,0.03076418816130954
0.25,trace_matched,1.3,1000,2,0.03201977743513522
0.25,trace_matched,1.325,1000,1,0.031091764065561744
0.25,trace_matched,1.325,1000,2,0.03239568616247082
0.25,trace_matched,1.35,1000,1,0.031432458491517434
0.25,trace_matched,1.35,1000,2,0.03278560155919089
0.25,trace_matched,1.375,1000,1,0.03178689368820087
0.25,trace_matched,1.375,1000,2,0.03319014428742976
0.25,trace_matched,1.4,1000,1,0.032155736160671015
0.25,trace_matched,1.4,1000,2,0.03360997924401168
0.25,trace_matched,1.425,1000,1,0.03253970055380745
0.25,trace_matched,1.425,1000,2,0.034045819444053355
0.25,trace_matched,1.45,1000,1,0.03293955395668625
0.25,trace_matched,1.45,1000,2,0.034498430325128206
0.25,realistic,0.5,50,1,0.024847305396109198
0.25,realistic,0.5,50,2,1625.7642938169215
0.25,realistic,0.525,50,1,0.024948772645690617
0.25,realistic,0.525,50,2,1480.866449776237
0.25,realistic,0.55,50,1,0.025045811143869636
0.25,realistic,0.55,50,2,1354.758103919925
0.25,realistic,0.575,50,1,0.025142597886538307
0.25,realistic,0.575,50,2,1244.4958986426632
0.25,realistic,0.6,50,1,0.02524157919965095
0.25,realistic,0.6,50,2,1147.6264994548299
0.25,realistic,0.625,50,1,0.02534414659475459
0.25,realistic,0.625,50,2,1062.1171947391956
0.25,realistic,0.65,50,1,0.025451083482821286
0.25,realistic,0.65,50,2,986.2872327940964
0.25,realistic,0.675,50,1,0.025562842042579716
0.25,realistic,0.675,50,2,918.7456608282495
0.25,realistic,0.7,50,1,0.02567970487316179
0.25,realistic,0.7,50,2,858.3379869660538
0.25,realistic,0.725,50,1,0.025801874204048537
0.25,realistic,0.725,50,2,804.1019239344386
0.25,realistic,0.75,50,1,0.025929518571901893
0.25,realistic,0.75,50,2,755.231412036994
0.25,realistic,0.775,50,1,0.026062796073819408
0.25,realistic,0.775,50,2,711.0477011441288
0.25,realistic,0.8,50,1,0.0262018654905153
0.25,realistic,0.8,50,2,670.9762180730391
0.25,realistic,0.825,50,1,0.026346891498320767
0.25,realistic,0.825,50,2,634.528068040349
0.25,realistic,0.85,50,1,0.026498047175619596
0.25,realistic,0.85,50,2,601.285203703518
0.25,realistic,0.875,50,1,0.02665551535545591
0.25,realistic,0.875,50,2,570.8884833654531
0.25,realistic,0.9,50,1,0.026819489531711913
0.25,realistic,0.9,50,2,543.028005418504
0.25,realistic,0.925,50,1,0.026990174623843354
0.25,realistic,0.925,50,2,517.4352416321497
0.25,realistic,0.95,50,1,0.027167787725793636
0.25,realistic,0.95,50,2,493.8765986995391
0.25,realistic,0.975,50,1,0.027352558889958092
0.25,realistic,0.975,50,2,472.14812001802585
0.25,realistic,1.0,50,1,0.027544731968095513
0.25,realistic,1.0,50,2,452.07110298120256
0.25,realistic,1.025,50,1,0.027744565520832105
0.25,realistic,1.025,50,2,433.4884555410924
0.25,realistic,1.05,50,1,0.02795233380434541
0.25,realistic,1.05,50,2,416.2616530298794
0.25,realistic,1.075,50,1,0.028168327842385172
0.25,realistic,1.075,50,2,400.26818495792503
0.25,realistic,1.1,50,1,0.028392856592306757
0.25,realistic,1.1,50,2,385.3994037961577
0.25,realistic,1.125,50,1,0.028626248214686453
0.25,realistic,1.125,50,2,371.55870515130823
0.25,realistic,1.15,50,1,0.028868851457195262
0.25,realistic,1.15,50,2,358.65998240427245
0.25,realistic,1.175,50,1,0.029121037164684282
