eta_scale,setting,K,g1,g2,differ
0.25,trace_matched,50,0.5,0.5,False
0.25,trace_matched,200,0.5,0.5,False
0.25,trace_matched,1000,0.5,0.5,False
0.25,realistic,50,0.5,1.45,True
0.25,realistic,200,0.5,1.45,True
0.25,realistic,1000,0.5,1.45,True
0.5,trace_matched,50,0.5,0.5,False
0.5,trace_matched,200,0.5,0.5,False
0.5,trace_matched,1000,0.5,0.5,False
0.5,realistic,50,0.5,1.425,True
0.5,realistic,200,0.5,1.425,True
0.5,realistic,1000,0.5,1.425,True
1.0,trace_matched,50,0.5,0.5,False
1.0,trace_matched,200,0.5,0.5,False
1.0,trace_matched,1000,0.5,0.5,False
1.0,realistic,50,0.5,1.0,True
1.0,realistic,200,0.5,1.0,True
1.0,realistic,1000,0.5,1.0,True
