g,mode,K,eta,E
0.5,fixed,20,7.41e-06,0.00019730410186911872
0.5,fixed,50,7.41e-06,0.0001964557145625202
0.5,fixed,100,7.41e-06,0.00018903769301473894
0.5,fixed,200,7.41e-06,0.00017687828502133617
0.5,lr_match_H,20,2.958e-05,0.00037177681538741556
0.5,lr_match_H,50,2.958e-05,0.0007657297521868708
0.5,lr_match_H,100,2.958e-05,0.0010473271189379116
0.5,lr_match_H,200,2.958e-05,0.0018012536822504253
0.55,fixed,20,7.41e-06,0.00020162045725800878
0.55,fixed,50,7.41e-06,0.0002020525086244379
0.55,fixed,100,7.41e-06,0.00019984857015405055
0.55,fixed,200,7.41e-06,0.0001880138272036221
0.55,lr_match_H,20,2.445e-05,0.00030741298277254674
0.55,lr_match_H,50,2.445e-05,0.0008063910291626556
0.55,lr_match_H,100,2.445e-05,0.002535235463233857
0.55,lr_match_H,200,2.445e-05,0.0028548107278466325
0.6,fixed,20,7.41e-06,0.00020712505500529595
0.6,fixed,50,7.41e-06,0.00021009365701169362
0.6,fixed,100,7.41e-06,0.0002048391891843473
0.6,fixed,200,7.41e-06,0.00021115705527117767
0.6,lr_match_H,20,2.055e-05,0.0003130952125992256
0.6,lr_match_H,50,2.055e-05,0.00042836364546910234
0.6,lr_match_H,100,2.055e-05,0.0007763859220221649
0.6,lr_match_H,200,2.055e-05,0.001408380096623885
0.65,fixed,20,7.41e-06,0.0001974961595402604
0.65,fixed,50,7.41e-06,0.00019816486150289007
0.65,fixed,100,7.41e-06,0.0002030200565996351
0.65,fixed,200,7.41e-06,0.00019684473481062893
0.65,lr_match_H,20,1.751e-05,0.00022161797985580803
0.65,lr_match_H,50,1.751e-05,0.00032478240238738407
0.65,lr_match_H,100,1.751e-05,0.0005219703662001177
0.65,lr_match_H,200,1.751e-05,0.0006143031459272156
0.7,fixed,20,7.41e-06,0.0002004648994304213
0.7,fixed,50,7.41e-06,0.00020267196491178627
0.7,fixed,100,7.41e-06,0.00020629927628177964
0.7,fixed,200,7.41e-06,0.00021765658381750594
0.7,lr_match_H,20,1.51e-05,0.0002293588782400527
0.7,lr_match_H,50,1.51e-05,0.00028157180179897015
0.7,lr_match_H,100,1.51e-05,0.0003844099248749202
0.7,lr_match_H,200,1.51e-05,0.0006116549141417378
0.75,fixed,20,7.41e-06,0.000222731085674711
0.75,fixed,50,7.41e-06,0.00022904112242783288
0.75,fixed,100,7.41e-06,0.0002280279530891253
0.75,fixed,200,7.41e-06,0.00022773037097900784
0.75,lr_match_H,20,1.316e-05,0.00030019997106467443
0.75,lr_match_H,50,1.316e-05,0.00039563619476522217
0.75,lr_match_H,100,1.316e-05,0.0004324632118181162
0.75,lr_match_H,200,1.316e-05,0.0005425728874344632
0.8,fixed,20,7.41e-06,0.00020626997055874942
0.8,fixed,50,7.41e-06,0.00020554448379711098
0.8,fixed,100,7.41e-06,0.0002206307826818889
0.8,fixed,200,7.41e-06,0.0002294986214965441
0.8,lr_match_H,20,1.157e-05,0.00023048651915893358
0.8,lr_match_H,50,1.157e-05,0.00024413014995297604
0.8,lr_match_H,100,1.157e-05,0.00030578253891261857
0.8,lr_match_H,200,1.157e-05,0.0003813776641776549
0.85,fixed,20,7.41e-06,0.0002225308503997404
0.85,fixed,50,7.41e-06,0.0002967009331621949
0.85,fixed,100,7.41e-06,0.00029454362817486106
0.85,fixed,200,7.41e-06,0.0002876481270788179
0.85,lr_match_H,20,1.025e-05,0.0002675368024061751
0.85,lr_match_H,50,1.025e-05,0.0005943402622892709
0.85,lr_match_H,100,1.025e-05,0.000579310613256587
0.85,lr_match_H,200,1.025e-05,0.0005471508124700136
0.9,fixed,20,7.41e-06,0.0002170456114119953
0.9,fixed,50,7.41e-06,0.00023561202197792296
0.9,fixed,100,7.41e-06,0.00025872849145913636
0.9,fixed,200,7.41e-06,0.0002977144207063412
0.9,lr_match_H,20,9.14e-06,0.00023198716716858663
0.9,lr_match_H,50,9.14e-06,0.0002823765804929706
0.9,lr_match_H,100,9.14e-06,0.0003399350886987422
0.9,lr_match_H,200,9.14e-06,0.00045796739453684134
0.95,fixed,20,7.41e-06,0.00020010011563919398
0.95,fixed,50,7.41e-06,0.0002332843132581731
0.95,fixed,100,7.41e-06,0.0002517997844437942
0.95,fixed,200,7.41e-06,0.0004032597249740076
0.95,lr_match_H,20,8.21e-06,0.00020177645768273297
0.95,lr_match_H,50,8.21e-06,0.00024549620345279166
0.95,lr_match_H,100,8.21e-06,0.00027417741408821355
0.95,lr_match_H,200,8.21e-06,0.0005926617380323319
1.0,fixed,20,7.41e-06,0.00020419538435644124
1.0,fixed,50,7.41e-06,0.0002257772318631455
1.0,fixed,100,7.41e-06,0.00024593113240281355
1.0,fixed,200,7.41e-06,0.0003303244382061519
1.0,lr_match_H,20,7.41e-06,0.00020419538435644124
1.0,lr_match_H,50,7.41e-06,0.00022577723186314544
1.0,lr_match_H,100,7.41e-06,0.00024593113240281355
1.0,lr_match_H,200,7.41e-06,0.0003303244382061519
1.05,fixed,20,7.41e-06,0.0002284723596988958
1.05,fixed,50,7.41e-06,0.0003437693511877385
1.05,fixed,100,7.41e-06,0.00026755197212272193
1.05,fixed,200,7.41e-06,0.0003748950246110841
1.05,lr_match_H,20,6.72e-06,0.00022149956474605773
1.05,lr_match_H,50,6.72e-06,0.00029305750353730733
1.05,lr_match_H,100,6.72e-06,0.0002448682658957744
1.05,lr_match_H,200,6.72e-06,0.00030831159784344583
1.1,fixed,20,7.41e-06,0.00020971854033868426
1.1,fixed,50,7.41e-06,0.0002262638868517618
1.1,fixed,100,7.41e-06,0.0002648411314648195
1.1,fixed,200,7.41e-06,0.00035221122353834783
1.1,lr_match_H,20,6.12e-06,0.00020399014239655996
1.1,lr_match_H,50,6.12e-06,0.00021166108781873143
1.1,lr_match_H,100,6.12e-06,0.00023225594868385153
1.1,lr_match_H,200,6.12e-06,0.00026064867910542434
1.15,fixed,20,7.41e-06,0.00024171007025562149
1.15,fixed,50,7.41e-06,0.00027071656389936985
1.15,fixed,100,7.41e-06,0.00027706428289117467
1.15,fixed,200,7.41e-06,0.0004035932181518596
1.15,lr_match_H,20,5.61e-06,0.00021957269618239775
1.15,lr_match_H,50,5.61e-06,0.00023140976457355718
1.15,lr_match_H,100,5.61e-06,0.00022833562469894923
1.15,lr_match_H,200,5.61e-06,0.00025760859735562985
1.2,fixed,20,7.41e-06,0.00023442322263975916
1.2,fixed,50,7.41e-06,0.00024607013779572896
1.2,fixed,100,7.41e-06,0.0002533426857401976
1.2,fixed,200,7.41e-06,0.00044345358808444807
1.2,lr_match_H,20,5.15e-06,0.00021104188088118058
1.2,lr_match_H,50,5.15e-06,0.00020811471548765664
1.2,lr_match_H,100,5.15e-06,0.0002035804192843982
1.2,lr_match_H,200,5.15e-06,0.000223750840167514
1.25,fixed,20,7.41e-06,0.0002134117618806384
1.25,fixed,50,7.41e-06,0.00023514564303278126
1.25,fixed,100,7.41e-06,0.000299488026954702
1.25,fixed,200,7.41e-06,0.012054815534712509
1.25,lr_match_H,20,4.75e-06,0.00020103955702745343
1.25,lr_match_H,50,4.75e-06,0.00020512817864757734
1.25,lr_match_H,100,4.75e-06,0.0002141394933536692
1.25,lr_match_H,200,4.75e-06,0.0003098893989846262
1.3,fixed,20,7.41e-06,0.0002506815724234843
1.3,fixed,50,7.41e-06,0.00029324455628990776
1.3,fixed,100,7.41e-06,0.00033212732068655103
1.3,fixed,200,7.41e-06,0.000711472626618445
1.3,lr_match_H,20,4.39e-06,0.0002110148144308631
1.3,lr_match_H,50,4.39e-06,0.0002176476096335252
1.3,lr_match_H,100,4.39e-06,0.000221111217371412
1.3,lr_match_H,200,4.39e-06,0.00023949076594336928
1.35,fixed,20,7.41e-06,0.00024075335764896515
1.35,fixed,50,7.41e-06,0.00027589530337608967
1.35,fixed,100,7.41e-06,0.001714235563149357
1.35,fixed,200,7.41e-06,0.0024363953539871725
1.35,lr_match_H,20,4.07e-06,0.00020497039853238928
1.35,lr_match_H,50,4.07e-06,0.00020643439574194792
1.35,lr_match_H,100,4.07e-06,0.00023471230700365897
1.35,lr_match_H,200,4.07e-06,0.0002938555270101927
1.4,fixed,20,7.41e-06,0.000215551898785079
1.4,fixed,50,7.41e-06,0.00025079834678175
1.4,fixed,100,7.41e-06,0.00032612173998260575
1.4,fixed,200,7.41e-06,0.0004230072885973315
1.4,lr_match_H,20,3.79e-06,0.0001985839170855767
1.4,lr_match_H,50,3.79e-06,0.0001990340311902362
1.4,lr_match_H,100,3.79e-06,0.0001964724614732013
1.4,lr_match_H,200,3.79e-06,0.0001999692447702697
1.45,fixed,20,7.41e-06,0.0003447853197397246
1.45,fixed,50,7.41e-06,0.00040026782951629864
1.45,fixed,100,7.41e-06,0.0005186122822917756
1.45,fixed,200,7.41e-06,0.0007161102240994522
1.45,lr_match_H,20,3.53e-06,0.0002071036857379783
1.45,lr_match_H,50,3.53e-06,0.00020906528555091126
1.45,lr_match_H,100,3.53e-06,0.0002104530616419674
1.45,lr_match_H,200,3.53e-06,0.00020299870658446124
1.5,fixed,20,7.41e-06,0.00021745827130998272
1.5,fixed,50,7.41e-06,0.00026732470914797834
1.5,fixed,100,7.41e-06,0.000342871044411895
1.5,fixed,200,7.41e-06,0.0008096843254213336
1.5,lr_match_H,20,3.3e-06,0.00019647551813953813
1.5,lr_match_H,50,3.3e-06,0.00019639221893005606
1.5,lr_match_H,100,3.3e-06,0.00019295414762624625
1.5,lr_match_H,200,3.3e-06,0.000198843553620348
